====Alpha====
>OD995392.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MW571136.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/WACCBIP_nCoV_GS153/2021, complete genome
>MZ447819.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-MASPHL-03883/2021, complete genome
>MZ216904.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-CDC-QDX24365481/2021, complete genome
>MW854297.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ITA/Naples_Ceinge-02/2021, complete genome
>MW558280.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-2576/2021, complete genome
>OU443336.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ056105.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-2-4215214/2021, complete genome
>OU476099.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>MZ039667.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC-CDC-LC0044320/2021, complete genome
====Beta====
>MW763128.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MAMC_00010/2021, complete genome
>ON279262.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-036079-NovaE/2021, complete genome
>MW929796.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX23355457/2021, complete genome
====Delta====
>OK189649.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/Barcode40MN908947.3/2021, complete genome
>OU803541.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ712884.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001647/2021, complete genome
>OU858487.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL727111.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-CDC-QDX30945055/2021, complete genome
>OM997238.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-EVTL9543/2021, complete genome
>OM067012.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/21490112803_S34_L001/2021, complete genome
>OK601707.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-CDC-ASC210411600/2021, complete genome
>OU532728.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ998478.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-MMB09614650/2021, complete genome
>OU593904.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU798538.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU348525.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ634176.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001345/2021, complete genome
>OU348444.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU394816.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU860418.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL887721.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-ASC210426644/2021, complete genome
>MZ798359.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LSUH900070/2021, complete genome
>MZ712932.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001790/2021, complete genome
>OL836634.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV-CDC-LC0401123/2021, complete genome
>OK016016.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210208916/2021, complete genome
>MZ733646.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OSPHL01644/2021, complete genome
>MZ681777.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001524/2021, complete genome
>MZ576179.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001084/2021, complete genome
>OL709201.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-QDX31091892/2021, complete genome
>MZ634169.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001336/2021, complete genome
>MZ356901.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/THSTI_556/2021, complete genome
>MZ958752.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OSPHL02218/2021, complete genome
>OU348296.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU733161.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OK104647.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/CCHE57357_W4_A061/2021, complete genome
>OL714086.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_S4AQB4XXWRYRXTDU/2021, complete genome
>OU348400.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL744027.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-2-5184119/2021, complete genome
>OV317888.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL711152.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-FG-173491/2021, complete genome
>ON334052.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MP-CDC-2-5714844/2021, complete genome
>OL784451.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-FG-181634/2021, complete genome
>OU706392.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OL777262.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210457114/2021, complete genome
>OL711409.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-172641/2021, complete genome
>OU662042.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OU804783.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ356904.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/THSTI_164566/2021, complete genome
>OK104613.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/EGY/CCHE57357_W4_A027/2021, complete genome
>OU983317.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OV113027.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU706828.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>MZ505746.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH000935/2021, complete genome
>OM088546.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-209495/2021, complete genome
>MZ682056.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OSPHL01464/2021, complete genome
>OL902410.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-211203813188/2021, complete genome
>OV104437.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>ON284296.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-021059_Nova1/2021, complete genome
>OU491030.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON005391.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TWN/CGMH-CGU-87/2021, complete genome
>MZ436591.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LSUH000677E2S1/2021, complete genome
>MZ798318.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LSUH001822/2021, complete genome
>OV109538.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM017117.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRT/PT_CBR_271938/2021, complete genome
>OU810613.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL948899.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-ASC210391706/2021, complete genome
>OU857816.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OU795509.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>MZ432663.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-MMB08976289/2021, complete genome
>MZ634241.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001423/2021, complete genome
>OL747792.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDC-ASC210480614/2021, complete genome
>OL711294.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-FG-172903/2021, complete genome
>MZ637331.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001192/2021, complete genome
>MZ555036.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-LC0085162/2021, complete genome
>OL700350.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_AXECUZKVLAPT6XSL/2021, complete genome
